File,NumThreads, time, lines, ,  
slurm-3491632.out:DATA,2,15599148.77,1000000,,
slurm-3491633.out:DATA,4,16187467.91,1000000,,
slurm-3491634.out:DATA,8,14485332.81,1000000,,
slurm-3491635.out:DATA,16,17766402.64,1000000,,
slurm-3496566.out:DATA,1,9491114.966,500000,,
slurm-3496567.out:DATA,1,5078461.447,250000,,
slurm-3496568.out:DATA,1,2445132.651,125000,,
slurm-3496569.out:DATA,1,1221290.87,62500,,
slurm-3496570.out:DATA,1,615466.036,31250,,
slurm-3496571.out:DATA,2,8021901.113,500000,,
slurm-3496572.out:DATA,2,4064069.789,250000,,
slurm-3496573.out:DATA,2,2095373.768,125000,,
slurm-3496574.out:DATA,2,1085327.961,62500,,
slurm-3496575.out:DATA,2,567934.895,31250,,
slurm-3496576.out:DATA,4,7846471.483,500000,,
slurm-3496577.out:DATA,4,4076209.645,250000,,
slurm-3496578.out:DATA,4,1934054.798,125000,,
slurm-3496579.out:DATA,4,984424.405,62500,,
slurm-3496580.out: DATA,4,481149.7,31250,,
slurm-3496581.out:DATA,8,8651740.5,500000,,
slurm-3496582.out:DATA,8,4655393.627,250000,,
slurm-3496583.out:DATA,8,2265363.932,125000,,
slurm-3496584.out:DATA,8,1089506.865,62500,,
slurm-3496585.out:DATA,8,438950.668,31250,,
